chunk_info,implementation,n_features,n_neighbors,n_samples_test,n_samples_train,throughput,time_elapsed,trial
"(256, 4)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.14163511428972095,0.28524,2.0
"(512, 2)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.13875532353345243,0.29116,2.0
"(1024, 1)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.07385200350979819,0.54704,2.0
"(2048, 1)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.07066025360734586,0.57175,2.0
"(4096, 1)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.06101244412226652,0.66216,2.0
"(128, 8)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.12240198751742107,0.33006,2.0
"(256, 4)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.14184895193286753,0.28481,2.0
"(512, 2)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.1384794680194694,0.29174,2.0
"(1024, 1)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.06654039364242774,0.60715,2.0
"(2048, 1)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.07288077498962713,0.55433,2.0
"(4096, 1)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.06165209296647286,0.65529,2.0
"(128, 8)",Parallel on X_test,50.0,100.0,1000.0,100000.0,0.11131316471042046,0.36294,2.0
"(256, 4)",Parallel on X_test,50.0,100.0,1000.0,100000.0,0.11982441570767588,0.33716,2.0
"(512, 2)",Parallel on X_test,50.0,100.0,1000.0,100000.0,0.11197959975608404,0.36078,2.0
"(1024, 1)",Parallel on X_test,50.0,100.0,1000.0,100000.0,0.05776875339605915,0.69934,2.0
"(2048, 1)",Parallel on X_test,50.0,100.0,1000.0,100000.0,0.05860933397165281,0.68931,2.0
"(4096, 1)",Parallel on X_test,50.0,100.0,1000.0,100000.0,0.045834089671446726,0.88144,2.0
"(0, nan)",sklearn,50.0,1.0,1000.0,100000.0,0.029858026561818678,1.35307,3.0
"(0, nan)",sklearn,50.0,10.0,1000.0,100000.0,0.01688765529118665,2.39228,3.0
"(0, nan)",sklearn,50.0,100.0,1000.0,100000.0,0.016807351968415492,2.40371,3.0
"(0, nan)",daal4py,50.0,1.0,1000.0,100000.0,0.1570823126871185,0.25719,3.0
"(0, nan)",daal4py,50.0,10.0,1000.0,100000.0,0.1547359148186449,0.26109,3.0
"(0, nan)",daal4py,50.0,100.0,1000.0,100000.0,0.12802636582583343,0.31556,3.0
"(128, 782)",Parallel on X_train,50.0,1.0,1000.0,100000.0,0.1243918960527126,0.32478,3.0
"(256, 391)",Parallel on X_train,50.0,1.0,1000.0,100000.0,0.14441465594280606,0.27975,3.0
"(512, 196)",Parallel on X_train,50.0,1.0,1000.0,100000.0,0.13767720828789531,0.29344,3.0
"(1024, 98)",Parallel on X_train,50.0,1.0,1000.0,100000.0,0.1373215499660095,0.2942,3.0
"(2048, 49)",Parallel on X_train,50.0,1.0,1000.0,100000.0,0.13116883116883116,0.308,3.0
"(4096, 25)",Parallel on X_train,50.0,1.0,1000.0,100000.0,0.10197899838449112,0.39616,3.0
"(128, 782)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.12178578964820787,0.33173,3.0
"(256, 391)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.1412982652490207,0.28592,3.0
"(512, 196)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.13469809622245194,0.29993,3.0
"(1024, 98)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.14019015892844752,0.28818,3.0
"(2048, 49)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.13037725497789396,0.30987,3.0
"(4096, 25)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.10147694162564051,0.39812,3.0
"(128, 782)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.1001537012246517,0.40338,3.0
"(256, 391)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.11165464444628694,0.36183,3.0
"(512, 196)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.10515904003331772,0.38418,3.0
"(1024, 98)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.10284608726643246,0.39282,3.0
"(2048, 49)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.0984525405141952,0.41035,3.0
"(4096, 25)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.07671711513264086,0.52661,3.0
"(128, 8)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.1272120410605202,0.31758,3.0
